grantee,description,amount,period,initiative,program
El Concilio of San Mateo County,"El Concilio of San Mateo County is committed to increasing education, employment and access to quality of life services for underserved communities of San Mateo County. This capacity building grant supports increased strategic planning and further board development.","$10,000",2018 - 2019,Community,Bay Area
EL Education,"EL Education partners with public schools and districts to bring to life an expanded definition of student achievement — one that includes mastery of knowledge and skills, character, and high-quality student work. EL Education's mission is to create classrooms where teachers can fulfill their highest aspirations, and students achieve more than they think possible, becoming active contributors to a better world. This grant supports the organization to refine its standards-aligned, open-source Language Arts Curriculum for grades 6-8, completing a full suite of curriculum for grades K-8.","$1,000,000",2018 - 2020,Education,K-12 Education
Enterprise Center,"The Enterprise Center invests patient capital in minority small businesses, providing owners with capital for long-term growth circumventing the stagnation resulting from systemic and economic inequities and the cyclical trap of predatory borrowing. This approach supports small businesses as economic anchors and job creators along commercial corridors where they live and work.**This donation recognizes The Enterprise Center as a Finalist in the Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While RF disbursed the funds to the Enterprise Center, the donation is joint in spirit.","$10,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
Enterprise Community Partners,"Enterprise Community Partners’ mission is to create opportunity for low and moderate-income people through affordable housing in diverse, thriving communities. This grant is to support Enterprise’s efforts to plan and implement a resourced and impactful regional housing enterprise that will help build capacity for a regional body to sustainably support affordable housing for the long-term.","$500,000",2018 - 2020,Justice & Opportunity,Housing
European Molecular Biology Laboratory,"This grant supports the development of novel statistical approaches for integrating multiple single-cell variation datasets. (PI: Oliver Stegle, Human Cell Atlas Computational Tools RFA)","$249,239",2018 - 2019,Science,Human Cell Atlas
European Molecular Biology Laboratory,"This grant supports providing R / Bioconductor software as a coherent programmatic interface to the HCA and to enable scalable interactive statistical analysis of single-cell data. (PI: John Marioni, Human Cell Atlas Computational Tools RFA)","$249,239",2018 - 2019,Science,Human Cell Atlas
European Molecular Biology Laboratory,"This grant supports providing R / Bioconductor software as a coherent programmatic interface to the HCA and to enable scalable interactive statistical analysis of single-cell data. (PI:Wolfgang Huber, Human Cell Atlas Computational Tools RFA)","$45,000",2018 - 2019,Science,Human Cell Atlas
European Molecular Biology Laboratory,"This grant supports the implementation of pipelines for tertiary analyses of Human Cell Atlas data sets and develop  associated, community-driven standards for the supported tools. (PI: Irene Papatheodorou, Human Cell Atlas Computational Tools RFA)","$200,000",2018 - 2019,Science,Human Cell Atlas
Family Connections,"Family Connections is a family learning community 
focused on education and growth for underserved 
children and their parents and caregivers. This capacity building grant supports data collection and evaluation to improve programs and create success for children and their families.","$10,000",2018 - 2019,Community,Bay Area
Family Connections,"Family Connections is a family learning community 
focused on education and growth for underserved 
children and their parents and caregivers. This Community Fund grant provides operational support for the organization across all four communities the Fund operates in.","$75,000",2018,Community,Bay Area
Family Connections,Family Connections is a family learning community focused on education and growth for underserved children and their parents and caregivers. This grant supports their ongoing work.,"$50,000",2018 - 2019,Community,Bay Area
Family Values @ Work: A Multi-State Consortium,"Family Values @ Work (FV@W) is a multi-state consortium dedicated to passing and improving paid family and medical leave, and paid sick and safe day policies in states and jurisdictions around the nation.**This donation recognizes FV@W as a Finalist in the Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to FV@W, the donation is joint in spirit.","$10,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
Fideicomiso de la Tierra del Caño Martín Peña,"Fideicomiso is an instrument that prevents gentrification, ensuring security and affordable housing through collective land tenure on 200 acres in blighted informal settlements. In close partnership with G-8 (a nonprofit coalition) and ENLACE (an innovative government agency), Fideicomiso fosters a space for transformative community empowerment and economic development through sophisticated community organization and participatory planning. This grant helps expand Fideicomiso’s local work.**Fideicomiso is a grantee of Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to Fideicomiso, the grant is joint in spirit.","$1,000,000",2018 - 2020,Justice & Opportunity,Economic Opportunity
"Fordham University (Fordham Law School, Access to Justice Initiative)","The Access to Justice Initiative at Fordham Law School focuses on advocating for greater access to justice for marginalized communities through teaching, direct services, research and advocacy. This grant will fund a summit  event and working groups discussions with 80-100 academics, legal service providers, program officers, advocates, industry professionals, tech, government, and community organizers to come together to craft a vision and next steps for the “access to justice” movement. The Access to Justice movement recognizes that for the poor, middle class and people of color, the justice system (both civil and criminal) is a weapon against them and it is often an impediment to their civil rights and legal empowerment. The goal of this meeting is to sharpen the strategy for justice reform by creating a vision for how civil and criminal justice are connected, and to identify key needs and next steps.","$75,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
Forward Justice (Forward Justice & The Formerly Incarcerated Convicted People and Families Movement),"Forward Justice is a nonpartisan law, policy, and strategy center dedicated to advancing racial, social and economic justice in the U.S. South. Forward Justice is also a leading member of the Formerly Incarcerated Convicted People and Families Movement (FICPFM), a national network of over 50 civil and human rights organizations that are led by system impacted people and their family members working together to reform the criminal justice system.","$200,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
Foundation for a College Education,Foundation for a College Education works to increase the number of students of color from East Palo Alto and similar communities who graduate from a four-year college or university. This Community Fund grant supports their work across all four communities the Fund operates in.,"$95,000",2018,Community,Bay Area
Foundation for a College Education,Foundation for a College Education aims to increase the number of students of color from East Palo Alto and similar communities who graduate from a four-year college or university. This capacity building grant provides professional development for the Foundation's staff.,"$10,000",2018 - 2019,Community,Bay Area
Foundation for Excellence in Education,"The Foundation for Excellence in Education partners with state decision makers, education leaders, and advocacy organizations to provide policy support on educational quality, innovation, and opportunity in order to unlock lifelong success for all students. This grant provides general operating support for the organization's programs.","$300,000",2018 - 2019,Education,Public Policy
Fred Hutchinson Cancer Research Center,"This grant supports providing R / Bioconductor software as a coherent programmatic interface to the HCA and to enable scalable interactive statistical analysis of single-cell data. (PI: Raphael Gottardo, Human Cell Atlas Computational Tools RFA)","$45,000",2018 - 2019,Science,Human Cell Atlas
Free At Last: Community Recovery And Rehabilitation Services,"Free at Last works to rebuild the community from within, reclaiming addicts and giving people who failed in the past the chance to succeed in the future. This Community Fund grant supports their work across all four communities the Fund operates in.","$100,000",2018,Community,Bay Area
Friends of the Palo Alto Junior Museum & Zoo,"The Friends of Palo Alto Junior Museum and Zoo work to support and enhance the Palo Alto Junior Museum & Zoo, whose mission is to engage a child's curiosity in science and nature. This capacity building grant provides a formative evaluation so the organization can improve processes and programs.","$10,000",2018 - 2019,Community,Bay Area
Friends of the Palo Alto Junior Museum & Zoo,"The Friends of Palo Alto Junior Museum and Zoo work to support and enhance the Palo Alto Junior Museum & Zoo, whose mission is to engage a child's curiosity in science and nature. This Community Fund grant provides operational support for the organization's work in Belle Haven and East Palo Alto.","$25,000",2018,Community,Bay Area
Fugees Family,"Fugees Family, based in Atlanta, Georgia and Columbus, Ohio, aims to empower minds and rebuild lives for child survivors of war through education, athletics, and advocacy. This grant provides general operating support for Fugees Family to codify and share their work integrating evidence-based comprehensive student development practices.","$50,000",2018 - 2019,Education,Student Development
Fundació Centre de Regulació Genòmica (CRG-CNAG),"This grant supports the systematic benchmarking of single-cell RNA sequencing methods to identify techniques suitable for the production of a Human Cell Atlas. (PI: Holger Heyn, Human Cell Atlas Computational Tools RFA)","$249,411",2018 - 2019,Science,Human Cell Atlas
FWD.us Education Fund,"FWD.us Education Fund is a critical partner for CZI, running national and state-based issue education campaigns in criminal justice reform and immigration. Mark Zuckerberg helped found FWD.us in 2013, and grant funding from CZI supports the majority of FWD's operations.","$3,948,604",2018,Justice & Opportunity,"Criminal Justice Reform, Immigration"
FWD.us Education Fund,"FWD.us Education Fund is a critical partner for CZI, running national and state-based issue education campaigns in criminal justice reform and immigration. Mark Zuckerberg helped found FWD.us in 2013, and grant funding from CZI supports the majority of FWD's operations.","$4,315,770",2018,Justice & Opportunity,"Criminal Justice Reform, Immigration"
FWD.us Education Fund,"FWD.us Education Fund is a critical partner for CZI, running national and state-based issue education campaigns in criminal justice reform and immigration. Mark Zuckerberg helped found FWD.us in 2013, and grant funding from CZI supports the majority of FWD's operations.","$2,259,897",2018,Justice & Opportunity,"Criminal Justice Reform, Immigration"
FWD.us Education Fund,"FWD.us Education Fund is a critical partner for CZI, running national and state-based issue education campaigns in criminal justice reform and immigration. Mark Zuckerberg helped found FWD.us in 2013, and grant funding from CZI supports the majority of FWD's operations.","$4,065,789",2018,Justice & Opportunity,"Criminal Justice Reform, Immigration"
Gates Philanthrophy Partners,This grant supports GPP’s Cardiovascular Health Initiative portfolio. The portfolio aims to accelerate the uptake of innovations that prevent heart disease and stroke in low- and middle-income countries.,"$60,050,000",2018 - 2022,Community,Family Giving
"Generations United, Inc.","Generations United works to improve the lives of children, youth, and older people through intergenerational collaboration, public policies, and programs for the enduring benefit of all. This capacity building grant supports their staff's professional development.","$10,000",2018 - 2019,Community,Bay Area
"Generations United, Inc.","Generations United works to improve the lives of children, youth, and older people through intergenerational collaboration, public policies, and programs for the enduring benefit of all. This Community Fund grant provides operational support for their ongoing work in Redwood City.","$27,500",2018,Community,Bay Area
"Generations United, Inc.","Generations United works to improve the lives of children, youth, and older people through intergenerational collaboration, public policies, and programs for the enduring benefit of all. This grant provides operational support.","$20,000",2018 - 2019,Community,Bay Area
Georgia Institute of Technology,"This grant supports the development of algorithms to jointly consider imputation and clustering analysis for single-cell RNA sequencing data which are zero-inflated. (PI: Peng Qiu, Human Cell Atlas Computational Tools RFA)","$124,510",2018 - 2019,Science,Human Cell Atlas
Girls to Women,"Girls to Women is dedicated to supporting girls as they design their futures for successful womanhood. 
This Community Fund grant supports their operations in the Belle Haven and East Palo Alto communities.","$30,000",2018,Community,Bay Area
GRID Alternatives,GRID Alternatives' is working to make renewable energy technology and job training accessible to underserved communities. This Community Fund grant supports their work across all four communities the Fund operates in.,"$87,700",2018,Community,Bay Area
Habitat for Humanity Greater San Francisco,"Habitat for Humanity Greater San Francisco builds homes and sustains affordable homeownership opportunities for families in Marin, San Francisco, and San Mateo counties. This capacity building grant from CZI will allow them to increase collaborations and create new partnerships locally.","$9,900",2018,Community,Bay Area
Habitat for Humanity Greater San Francisco,"Habitat for Humanity Greater San Francisco builds homes and sustains affordable homeownership opportunities for families in Marin, San Francisco, and San Mateo counties. This Community Fund grant supports their work in the East Palo Alto community.","$75,000",2018,Community,Bay Area
hack the hood,Hack the Hood introduces low-income youth of color to careers in tech by hiring and training them to build websites for real small businesses in their own communities. This Community Fund Grant provides operational support for their work in East Palo Alto.,"$25,000",2018,Community,Bay Area
Hamilton Families,Hamilton Families’ is working to end family homelessness in the San Francisco Bay Area. This grant supports their work to combat youth homelessness by providing staff wellness.,"$50,000",2018,Community,Bay Area
Harvard Medical School,"This grant supports the development and application of computational tools that utilize somatic mutations at microsatellites as genetic barcodes to reconstruct cell lineage patterns from single-cell sequencing data. (PI: Peter Park, Human Cell Atlas Computational Tools RFA)","$150,000",2018 - 2019,Science,Human Cell Atlas
Harvard Medical School,"This grant supports the development of a tool, called SPRING, allowing users to interactively explore topology and gene expression features in high-dimensional single cell data, using force-directed graph layouts. (PI: Allon Klein, Human Cell Atlas Computational Tools RFA)","$199,730",2018 - 2019,Science,Human Cell Atlas
Harvard Medical School,"This grant supports the development of computational discovery tools for large-scale structure determination of macromolecules, of conformational changes and for quantitative prediction of effects human genetic variants in neurodegenerative disease. (PI: Debora Marks, Early Career Awards)","$2,500,000",2018 - 2023,Science,Neurodegeneration Challenge Network
Hawaii Community Foundation,The Hawaii Community Foundation helps people make a difference by inspiring the spirit of giving and by investing in people and solutions to benefit every Island community. This grant supports the organization's disaster reliefs following the flooding on Kauai.,"$250,000",2018 - 2019,Community,Family Giving
Hawaii Community Foundation,The Hawaii Community Foundation helps people make a difference by inspiring the spirit of giving and by investing in people and solutions to benefit every Island community. This grant continues to support the organization's ongoing disaster reliefs following the flooding on Kauai.,"$250,000",2018 - 2019,Community,Family Giving
Health Leads,"Health Leads believes your zip code shouldn't determine lifelong health outcomes, and that every person in every community deserves to live with health, well-being, and dignity. This grant provides general operating support for the organization to partner with communities and health systems to address the systemic causes of inequity and disease, and work toward community-defined health aims that ensure everyone has the essentials they need to thrive.","$1,000,000",2018 - 2019,Education,Student Development
Healthy Cities Tutoring,"Healthy Cities Tutoring helps kids who struggle to succeed in school. Community volunteers provide one-on-one tutoring and mentoring for children to improve their academic performance, engagement in learning and self-esteem. This Community Fund grant provides ongoing support for their work in the North Fair Oaks and Redwood City communities.","$30,000",2018,Community,Bay Area
"Helmholtz Zentrum München, German Research Center for Evironmental Health","This grant supports the building of an interactive, distributed environment for analyzing single cell RNA seq data topology (trajectories, clusters) and associated driving genes. (PI: Fabian Theis, Human Cell Atlas Computational Tools RFA)","$175,295",2018 - 2019,Science,Human Cell Atlas
Heriot-Watt University,"This grant supports the development of software for an atlas framework enabling image integration, annotation and analysis, including tools for the clinical domain expert with sharing of image data and comparative analysis of normal and diseased tissues across species. (PI: Albert Burger, Human Cell Atlas Computational Tools RFA)","$88,000",2018 - 2019,Science,Human Cell Atlas
Hidden Genius Project,"The Hidden Genius Project trains and mentors black male youth in technology creation, entrepreneurship, and leadership skills to transform their lives and communities. This grant will support the organization's expansion outside of the Bay Area.","$75,000",2018 - 2019,Other,Diversity Equity & Inclusion
High Resolves,"High Resolves designs and delivers citizenship and leadership learning experiences to young people to fuel transformative change towards a more just, equitable, and inclusive world. This grant supports High Resolves to engage a core group of Civics and Citizenship Education providers to collaborate on an ecosystem strategy that brings evidence-based citizenship education curriculum to more classrooms through an innovative digital platform.","$1,500,000",2018 - 2019,Education,Learning Science
High Resolves,"High Resolves designs and delivers citizenship and leadership learning experiences to young people to fuel transformative change towards a more just, equitable, and inclusive world. This grant supports High Resolves in the planning phase of designing an innovative approach to assess the development of citizenship competencies in students and schools.","$50,000",2018,Education,Learning Science
Ho'ola Lahui Hawai'i,Ho'ola Lahui Hawai'i is dedicated to improving the health of the community through clinical care and innovative integration of Hawaiian values. This grant provides support for the organization’s behavioral health services program.,"$20,000",2018 - 2019,Community,Family Giving
Home & Hope,"Home & Hope provides homeless families in San Mateo County with a safe haven,​ helping them re-establish long-term self-sufficiency. This grant bolsters their mission to end youth homelessness by providing operational support across the organization.","$140,000",2018 - 2020,Community,Bay Area
Homeboy Industries,"Homeboy Industries’ (HBI) therapeutic community, re-entry and wraparound services, and social enterprise model aims to reduce recidivism, facilitate family reunification, remove barriers to employment, and provide hope and support to formerly gang-involved and previously incarcerated men and women.**This donation recognizes HBI as a Finalist in the Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to HBI, the donation is joint in spirit.","$10,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
Housing California,"Since 1988, Housing CA has worked in the Capitol and statewide to prevent and end homelessness and increase the variety and supply of safe, stable, accessible, and permanently affordable homes in vibrant, inclusive, and prosperous communities. Housing CA will continue to advance a long-term vision and clear path forward to create a California where everyone has access to housing stability, political opportunity, and shared economic prosperity through three interconnected strategic directions: (1) Creating an affordable housing frame and narrative that works for California, (2) Building power and the “base to win” through multisector coalitions and networks, and (3) Advancing bold policy solutions.","$250,000",2018 - 2019,Justice & Opportunity,Housing
Housing Leadership Council of San Mateo County,The Housing Leadership Council of San Mateo County works with communities and their leaders to produce and preserve quality affordable homes. This Community Fund grant supports their work across all four communities the Fund operates in.,"$75,000",2018,Community,Bay Area
Houston Education Research Consortium,"The Houston Education Research Consortium is a research-practice partnership between Rice University and eleven Houston-area school districts, aimed at bringing together education researchers and decision makers to close achievement gaps. This grant supports the Consortium's participation in an international study, devised by the Organisation for Economic Co-operation and Development, that tests new measures of social-emotional skills among 10 and 15-year-olds and examines the impact of background factors such as home and school environments.","$130,000",2018 - 2021,Education,Learning Science
Icahn School of Medicine at Mount Sinai/Continuum Health Partners Inc (Icahn School of Medicine at Mount Sinai),"This grant supports the development of a computational infrastructure backend system that enables interactive exploratory analysis on enormous single-cell datasets. (PI: Uri Laserson, Human Cell Atlas Computational Tools RFA)","$199,994",2018 - 2019,Science,Human Cell Atlas
iFoster,"iFoster provides crucial support for foster children and transition-age youth, a difficult-to-reach population, demonstrating strong leadership and potential for scale.**This donation recognizes iFoster as a Finalist in the Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to iFoster, the donation is joint in spirit.","$10,000",2018 - 2019,Justice & Opportunity,Economic Opportunity
Illustrative Mathematics,"Illustrative Mathematics aims to create a world where all learners know, use, and enjoy mathematics by providing educators access to high-quality PreK-12 curriculum, aligned professional learning, and free resources to support students' success in mathematics. This grant supports Illustrative Mathematics' work to build a standards-aligned, open-source, freely available PreK-5 math curriculum.","$1,000,000",2018 - 2019,Education,K-12 Education
Immigrant Legal Resource Center (ILRC) (New Americans Campaign),"The Immigrant Legal Resource Center leads the New Americans Campaign, a nonpartisan national network of non-profit organizations and foundations that transforms the process of achieving U.S. citizenship and connects lawful permanent residents (LPRs) to legal assistance and critical information to increase naturalization. This grant provided general operating support for the New Americans Campaign's nationwide programs.","$200,000",2018 - 2019,Justice & Opportunity,Immigration
Industrial Commons,"The Industrial Commons provides resources and support to firms, networks, and workers in industrial western North Carolina. It aims to improve livelihoods and root wealth in communities. The Industrial Commons operates several interconnected social enterprises to ensure that industrial businesses are revitalized and sustainable, work is rooted and meaningful, and workers live good, dignified lives.**The Industrial Commons is a grantee of Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While the Rockefeller Foundation disbursed the funds to Industrial Commons, the grant is joint in spirit.","$1,000,000",2018 - 2020,Justice & Opportunity,Economic Opportunity
Innovate Public Schools,"Innovate Public Schools aims to make sure that all students — especially low-income students and students of color — receive a world-class public education that prepares them for success in college, careers, and beyond. This grant provides general operating support for Innovate's work developing parent and educator leaders in California to advocate for high quality public schools.","$250,000",2018 - 2019,Education,K-12 Education
"Institute for Human and Social Development, Inc.","The Institute for Human and Social Development (IHSD) is committed to providing the highest quality comprehensive early care and education and family services to support the school readiness of each child. This grant provides startup, operational support for the organization's first year of work in East Palo Alto.","$100,000",2018 - 2019,Community,Bay Area
International Institute of the Bay Area,"The International Institute of the Bay Area (IIBA) is a non-profit organization that provides high-quality, low-cost immigration legal services to the Bay Area community. This capacity building grant provides professsional development for their staff.","$10,000",2018 - 2019,Community,Bay Area
International Institute of the Bay Area,"The International Institute of the Bay Area (IIBA) is a non-profit organization that provides high-quality, low-cost immigration legal services to the Bay Area community. This Community Fund grant provides ongoing support for their work across the four communities the Fund works in.","$30,000",2018,Community,Bay Area
International Society for Technology in Education,"The International Society of Technology in Education is a non-profit organization with a mission to empower educators to harness technology to accelerate innovation in teaching and learning using evidence-based practices. This grant supports the organization in converting learning science research into practical, easily-adoptable formats to help education leaders, procurement specialists, and classroom teachers improve their practice.","$720,000",2018 - 2019,Education,Learning Science
J. Craig Venter Institute,"This grant supports the development of a scalable approach for semantically-coherent and statistically-comparable cell type definitions, using data from emerging high-throughput/high-content/high-resolution technologies. (PI: Richard Scheuermann, Human Cell Atlas Computational Tools RFA)","$249,739",2018 - 2019,Science,Human Cell Atlas
Jefferson Education Exchange,"Jefferson Education Exchange, formed in partnership with the University of Virginia’s Curry School of Education and Human Development, is a nonprofit public charity committed to bringing the real-world experiences of educators to bear on edtech decision-making. The organization provides stipends to teachers, who document their experiences and perspectives to help district leaders and policymakers understand and explain why any given edtech tool can work in some environments, but not in others. This grant supports the organization’s research efforts to capture and analyze implementation variables that influence the effectiveness of education technology.","$1,500,000",2018 - 2020,Education,Learning Science
Jefferson Education Exchange,"Jefferson Education Exchange aims to promote informed decision-making among education leaders to improve outcomes for students. This grant supports Jefferson Education Exchange to partner with the Institute of Education Sciences — the statistics, research, and evaluation arm of the U.S. Department of Education — to host three educator convenings designed to collect educator feedback to help inform priorities in national education research.","$154,000",2018 - 2019,Education,Learning Science
"JobTrain, Inc.","JobTrain works to improve the lives of people in the community through assessment, attitude and job skills training, and high potential career placement. This Community Fund grant supports their work across all four communities the Fund operates in.","$75,000",2018,Community,Bay Area
"JobTrain, Inc.","JobTrain works to improve the lives of people in the community through assessment, attitude and job skills training, and high potential career placement. This capacity building grant supports their continued outreach through community engagement.","$10,000",2018 - 2019,Community,Bay Area
Karolinska Institutet,"This grant supports identifying alterations in gene expression at a single cell level in Parkinsons Disease samples by using powerful droplet microfluidics single-nuclei RNA-seq, single molecule FISH, in situ sequencing and bioinformatics analysis and determining the function of genes with altered expression levels and their contribution to Parkinsons Disease by using novel gene editing technologies and advanced midbrain differentiation protocols for pluripotent stem cells. (PI: Ernest Arenas, Collaborative Science Award)","$1,050,000",2018 - 2021,Science,Neurodegeneration Challenge Network
Kaua'i Museum Association Limited,"The Kauai Museum preserves and showcases the cultural heritage of Kauai's indigenous and immigrant people. This grant provides operating support to further their mission to develop and preserve collections, create public and educational programs, and more.","$20,000",2018 - 2019,Community,Family Giving
Kauai Economic Opportunity Incorporated,"As a Community Action Agency, Kauai Economic Opportunity (KEO) is statutorily designated through Federal Legislation, the Office of Economic Opportunity Act of 1965, to eliminate and/or relieve the pain of poverty.  Since 1965, KEO has been and is the only agency on Kauai, specific to this mission addressing the needs of those in poverty. This grant supports the organization’s disaster relief following the flooding on Kauai.","$25,000",2018 - 2019,Community,Family Giving
Kauai Habitat For Humanity Inc,"Kaua‘i Habitat for Humanity brings people together to build homes, communities and hope. This grant supports the organization's disaster reliefs following the flooding on Kauai.","$250,000",2018 - 2019,Community,Family Giving
Kilauea Point Natural History Association,"The Kīlauea Point Natural History Association works to promote better understanding, appreciation, and conservation of the natural history and environment of Kaua‘i National Wildlife Refuges and native Hawaiian ecosystems.This grant provides general support to further their mission to foster educational, interpretive, and scienfitic activities and projects.","$20,000",2018 - 2019,Community,Family Giving
KIPP Baltimore,"KIPP Baltimore’s mission is to create and operate high-achieving, college preparatory schools in Baltimore City that develop the knowledge, skills, and character strengths necessary for students to succeed throughout their education and in life. This grant supports KIPP Baltimore and Johns Hopkins Rales Health Center in a partnership integrating academic supports for students with physical, mental, and social-emotional interventions, and in codifying and sharing their learnings, knowledge, and tools to reach more students.","$32,128",2018 - 2019,Education,Student Development
KnowledgeWorks,"KnowledgeWorks aims to change education culture to prepare each student for future success through personalized learning. This grant supports the organization to develop an interactive, digital suite of tools and state policy roadmap on building personalized learning systems, and to explore how states can apply the tools and roadmap to policy.","$300,000",2018 - 2019,Education,Public Policy
Landed,"Landed seeks to make buying a home more affordable and less risky for educators through financial coaching and down payment assistance. The debt facility from CZI is a 3-year revolving loan that Landed can draw from to help educators across the U.S. access homeownership in and near to the communities where they serve, through a shared-equity model. Landed's shared-equity model provides up to 10% of a home’s purchase price, in exchange for up to 25% of that home’s appreciation (or loss) plus return of original investment when the home is sold or refinanced.","$5,000,000",2018 - 2021,Justice & Opportunity,Housing
Larkin Street Youth Services,"Larkin Street Youth Services works to create a continuum of services that inspires youth to move beyond the street. This grant bolsters their mission to end youth homelessness by providing operational support for the San Francisco Rising Up Campaign, a public-private partnership with the goal of reducing youth homelessness at least 50% by 2023.","$600,000",2018 - 2020,Community,Bay Area
Larkin Street Youth Services,Larkin Street Youth Services works to create a continuum of services that inspires youth to move beyond the street. In support of their mission to end youth homelessness this grant provides staff wellness.,"$50,000",2018,Community,Bay Area
Lawrence Berkeley National Lab,"This grant supports the development of spectral phenotyping as a non-destructive, label-free method to identify and capture cell types based on their spectral properties. (PI: Cynthia McMurray, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
Lawyers Committee for Civil Rights Under Law,"The principal mission of the Lawyers’ Committee for Civil Rights Under Law is to secure equal justice for all through the rule of law, with a focus on the inequities confronting African Americans and other racial and ethnic minorities. The Lawyers’ Committee has extensive expertise with fair housing, affordable housing, and land use planning matters. This grant supports their long standing efforts in collaboration with community organizations and national coalition allies, to advocate for protecting, strengthening and affirmatively furthering fair housing (AFFH).","$100,000",2018 - 2019,Justice & Opportunity,Housing
Leading Educators,"Leading Educators advances teachers’ leadership skills and opportunities, supporting districts to ensure all students have the opportunity to succeed in school and life. This grant enables the organization to design and test a professional learning curriculum grounded in learning science, a holistic vision of student success, and equity-informed practices to improve student outcomes within personalized learning environments.","$1,150,000",2018 - 2020,Education,K-12 Education
Lean Lab Education,"Lean Lab Education partners with communities and entrepreneurs in co-creating solutions to improve local education. This grant supports Lean Lab's work with the Kansas City community to deeply understand current procurement practice, and help schools design a more evidence-based, efficient, transparent, and collaborative procurement process.","$200,000",2018 - 2019,Education,Learning Science
Learning Sciences Research Institute at University of Illinois at Chicago,"The Learning Sciences Research Institute at the University of Illinois at Chicago aims to improve learning and learning environments for 21st century students around the globe. This grant supports the Institute to design 100+ open source, teacher-informed assessment tasks and supporting interpretive materials for middle school Physical Science aligned to the Next Generation Science Standards.","$1,000,000",2018 - 2020,Education,Learning Science
LearnLaunch Institute,"LearnLaunch Institute builds community and capacity in the education innovation ecosystem with the aim of transforming learning and improving student achievement. This grant supports a group of Massachusetts school districts to pilot evidence-based monitoring, evaluation, and procurement of digital learning supports for schools.","$475,000",2018 - 2020,Education,Learning Science
Legal Aid of San Mateo County (LIBRE),"The Legal Aid Society of San Mateo County works to fight social injustice through civil legal advocacy for people living in poverty. This grant supports Legal Aid’s local community work by expanding LIBRE – a collaboration that links immigrants in San Mateo County to benefits, resources and services – of which LASSMC is a key partner.","$75,000",2018,Justice & Opportunity,Immigration
LifeMoves,LifeMoves is the largest and most effective nonprofit committed to ending the cycle of homelessness in Silicon Valley. This grant bolsters their efforts to end youth homelessness by supporting the screening and prioritization of doubled-up families; building their capacity to provide tiered services to students and families in need; and providing general operational support across the organization.,"$1,500,000",2018 - 2020,Community,Bay Area
"Live In Peace, Inc.",Live in Peace aims to empower youth to reclaim the vision for their future through comprehensive high school programs and college initiatives. This Community Fund grant provides operational support for their work across all four communities the Fund operates in.,"$50,000",2018,Community,Bay Area
"Local Initiatives Support Corporation (LISC) (Partnership for the Bay's Future, Investment Fund)","To seed the Regional Housing Flexible Fund (RHFF), a component of the Partnership for the Bay's Future. The RHFF is an investment fund providing flexible, low-cost capital to offer the innovative products necessary to produce and preserve the amount of affordable housing we need to create a more livable, equitable, and racially and economically diverse Bay Area.","$40,000,000",2018 - 2023,Justice & Opportunity,Housing
Marine Science Institute,"The Marine Science Institute's mission is to cultivate a responsibility for the natural environment and our human communities through interdisciplinary science education. This grant will help 4,000 underserved students in San Mateo and Santa Clara Counties explore a range of coastal and Bayshore habitats in San Mateo County with expert guidance from the Institute's professional marine educators.","$20,000",2018 - 2019,Community,Bay Area
Massachusetts General Hospital,"This grant supports the development of methods and software to understand differences in how cells behave and implement these in Hail, a scalable software platform designed for biological analysis. (PI: Benjamin Neale, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
Massachusetts Institute of Technology (MIT),"This grant supports the development of optimal transport based algorithms to reconstruct and visualize cell trajectories, fates and ancestors, along temporal processes such as differentiation, division or tumorigenesis. (PI: Philippe Rigollet, Human Cell Atlas Computational Tools RFA)","$220,215",2018 - 2019,Science,Human Cell Atlas
Menlo Spark,"Menlo Spark collaborates with local government, businesses, residents, and top experts to apply proven sustainability measures to Menlo Park through community engagement. This capacity building grant will support disadvantaged communities by advancing transit equity and community benefits and by amplifying residents in the regional and local transportation planning process.","$10,000",2018 - 2019,Community,Bay Area
Menlo Spark,"Menlo Spark collaborates with local government, businesses, residents, and top experts to apply proven sustainability measures to Menlo Park through community engagement. This Community Fund grant helps the organization expand their regional transportation and planning efforts to Belle Haven.","$40,000",2018,Community,Bay Area
